slug,scientific_name,vernacular_en,vernacular_other,use_categories,caution_band,plate_status,public_anchor,notes
acokanthera-oppositifolia,Acokanthera oppositifolia,bushman's poison,Afrikaans: boesmansgif; isiZulu: inhlungunyembe,hunting-fishing|general-medicines,hold,need,SANBI / arrow-poison tradition,HOLD: hunting poison; never prep detail
strophanthus-speciosus,Strophanthus speciosus,common poison rope,Afrikaans: giftobbie,hunting-fishing,hold,need,SANBI / cardiac glycoside tradition,HOLD: hunting poison class
eragrostis-tef,Eragrostis tef,teff,used regionally / Ethiopian staple also grown in SA,cereals,open,need,Agricultural literature,Cereal open band where cultivated
sorghum-bicolor,Sorghum bicolor,sorghum / mabele,Sesotho: mabele; isiZulu: amabele,cereals|beverages,open,need,SANBI / staple cereal & beer,Food/beverage open
pennisetum-glaucum,Cenchrus americanus,pearl millet,syn. Pennisetum glaucum; Afrikaans: babala,cereals,open,need,SANBI / FAO millet,Use current POWO name in monograph
hyphaene-coriacea,Hyphaene coriacea,lala palm / ilala,isiZulu: ilala,basketry-weaving|fruits-berries|beverages,open,need,SANBI / palm craft + sap traditions,Craft + beverage; overharvest watch
phoenix-reclinata,Phoenix reclinata,wild date palm,Afrikaans: wilde-dadelboom; isiZulu: isundu,fruits-berries|basketry-weaving|thatching-mats,open,need,SANBI / widespread palm uses,Craft + fruit
juncus-kraussii,Juncus kraussii,dune cord-rush / ncema,isiZulu: incema,basketry-weaving|thatching-mats,open,have,SANBI / famous craft fibre,Craft open; cultural harvest protocols matter
cyperus-textilis,Cyperus textilis,mat sedge / imizi,isiZulu: imizi,thatching-mats|basketry-weaving,open,need,SANBI / mat weaving,Craft open
restio-species,Thamnochortus insignis,thatching reed / dekriet,Afrikaans: dekriet,thatching-mats,open,need,SANBI / Cape thatching industry,Use T. insignis as thatching type species
combretum-imberbe,Combretum imberbe,leadwood,Afrikaans: hardekool; isiZulu: umbondwe,utility-timbers|fire-firewood|dyes-tans,open,need,SANBI / protected timber in places,Craft/timber; legal harvest status varies
olea-europaea-cuspidata,Olea europaea subsp. cuspidata,wild olive,Afrikaans: olienhout,utility-timbers|fire-firewood|general-medicines,open,need,SANBI / hard utility wood,Timber + traditional medicine caution band on medicinal claims
vachellia-karroo,Vachellia karroo,sweet thorn,syn. Acacia karroo; Afrikaans: soetdoring,utility-timbers|fire-firewood|dyes-tans|general-medicines,open,have,SANBI / POWO Vachellia,Use Vachellia karroo as accepted name; Slug renamed acacia-karroo to vachellia-karroo
grewia-occidentalis,Grewia occidentalis,cross-berry,Afrikaans: kruisbessie,fruits-berries|basketry-weaving,open,need,SANBI / fruit + fibre,Food/craft
ziziphus-mucronata,Ziziphus mucronata,buffalo thorn,Afrikaans: blinkblaar-wag-'n-bietjie; isiZulu: umphafa,fruits-berries|general-medicines|utility-timbers,caution,have,SANBI / cultural tree + medicine,Cultural sensitivity; medicine caution
ximenia-caffra,Ximenia caffra,sourplum,Afrikaans: suurpruim; isiZulu: umthunduluka-obomvu,fruits-berries|soaps-cosmetics,open,need,SANBI / oil seed + fruit,Food + cosmetic oil
schinziophyton-rautanenii,Schinziophyton rautanenii,manketti / mongongo,Afrikaans: manketti,seeds-nuts|utility-timbers,open,need,SANBI / Kalahari oil nut,Food oil staple in parts of region
citrullus-lanatus,Citrullus lanatus,tsamma / wild melon,Afrikaans: tsamma,fruits-berries|seeds-nuts|beverages,open,have,SANBI / Kalahari water fruit,Food open
aponogeton-distachyos,Aponogeton distachyos,waterblommetjie,Afrikaans: waterblommetjie,vegetables,open,have,SANBI / Cape culinary icon,Food open
tulbaghia-violacea,Tulbaghia violacea,wild garlic,Afrikaans: wildeknoffel,vegetables|general-medicines|perfumes-repellents,open,need,SANBI / garden + culinary,Food/culinary open
bidens-pilosa,Bidens pilosa,black jack,Afrikaans: knapsekêrel; isiZulu: ucucuza,vegetables|general-medicines,open,need,SANBI / leafy vegetable weed,Food open; pantropical
xanthoxylum-capense,Zanthoxylum capense,small knobwood,Afrikaans: kleinperdepram; isiZulu: umnungumabele,dental-care|general-medicines|utility-timbers,caution,need,SANBI / toothache tradition,Dental tradition; no prep detail
eucomis-autumnalis,Eucomis autumnalis,pineapple flower,Afrikaans: pynappelblom,general-medicines|womens-health,hold,need,SANBI / bulb medicine; conservation,HOLD: women's-health + bulb harvest pressure
alepidea-amatymbica,Alepidea amatymbica,larger tinsel flower,isiXhosa: ikhathaza,general-medicines|womens-health,hold,need,SANBI / cold-flu + women's health traditions,HOLD: women's-health band; correct spelling row
plumbago-auriculata,Plumbago auriculata,Cape leadwort,Afrikaans: blousuurstof,wounds-skin|general-medicines,caution,need,SANBI / common garden plant,Topical/medicinal claims vary
kigelia-africana,Kigelia africana,sausage tree,Afrikaans: worsboom; isiZulu: umVunguta,soaps-cosmetics|general-medicines|utility-timbers,caution,have,SANBI / cosmetic fruit tradition,Cosmetic claims commercialised; caution
catha-edulis,Catha edulis,khat / bushman's tea,Afrikaans: boesmanstee,mind-mood|beverages,hold,need,International control schedules vary,HOLD: stimulant; legal/status gate
cannabis-sativa,Cannabis sativa,cannabis / dagga,Afrikaans: dagga,mind-mood|general-medicines|fibres,hold,need,SA legal landscape evolving,HOLD: intoxicant; estate no-alcohol-adjacent care; metadata only
withania-somnifera,Withania somnifera,winter cherry / ashwagandha,Afrikaans: geneesblaarbossie,tonic-plants|mind-mood,caution,need,SANBI / pantropical; SA populations,Tonic tradition; mind-mood adjacent caution
